player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Josh Allen,BUF,561.0,376.0,4322.0,32.2,16.4,102.0,447.0,4.3,5.3,374.2
Patrick Mahomes II,KC,589.0,389.0,4833.0,34.1,14.7,29.0,150.0,2.0,4.0,366.6
Kyler Murray,ARI,575.0,377.8,4084.0,24.7,16.0,120.0,644.2,5.1,4.3,353.4
Lamar Jackson,BAL,437.0,273.0,3106.0,22.5,15.0,130.0,857.0,6.6,5.1,330.8
Dak Prescott,DAL,584.0,392.0,4559.0,29.8,15.0,57.0,258.2,2.9,4.4,340.1
Russell Wilson,SEA,547.4,356.9,4149.3,30.8,15.0,74.2,408.8,2.0,4.1,314.2
Aaron Rodgers,GB,553.0,370.0,4301.9,35.2,10.3,37.0,155.0,1.5,3.2,318.7
Justin Herbert,LAC,585.0,374.0,4367.8,27.7,15.9,56.2,248.1,3.0,4.2,305.4
Tom Brady,TB,596.0,389.0,4531.0,34.9,15.0,16.0,19.0,1.1,3.3,317.2
Ryan Tannehill,TEN,490.0,324.0,3907.0,27.0,13.8,47.2,209.8,2.2,3.7,289.6
Jalen Hurts,PHI,472.0,278.0,3330.0,19.5,16.0,112.6,547.1,5.8,6.5,290.9
Joe Burrow,CIN,596.3,388.0,4158.0,24.5,14.8,41.2,184.0,2.3,5.4,280.0
Matthew Stafford,LAR,585.0,374.0,4330.0,26.0,13.2,24.0,87.0,0.0,3.4,280.0
Matt Ryan,ATL,579.0,377.0,4230.0,25.0,17.0,29.0,28.4,0.9,5.0,265.8
Kirk Cousins,MIN,491.4,326.9,3782.0,26.3,15.0,18.8,76.6,1.0,4.0,244.6
Baker Mayfield,CLE,531.0,333.0,3898.6,25.0,17.5,34.5,153.0,1.0,3.8,271.1
Trevor Lawrence,JAC,555.0,344.0,3883.0,22.0,17.2,39.5,173.1,1.4,4.4,266.9
Tua Tagovailoa,MIA,546.0,344.0,3655.0,23.0,16.0,54.0,195.0,2.0,2.6,273.0
Ryan Fitzpatrick,WAS,511.9,342.3,3821.2,21.5,21.0,43.7,196.0,1.0,3.4,248.7
Derek Carr,LV,532.0,351.0,4149.0,24.7,13.3,23.7,95.0,1.0,6.0,256.3
Ben Roethlisberger,PIT,536.0,343.0,4022.0,26.8,17.2,6.0,0.0,0.0,3.4,254.5
Zach Wilson,NYJ,527.5,330.0,3729.0,19.0,16.9,51.8,228.5,2.0,4.0,240.9
Jameis Winston,NO,445.0,276.0,3250.0,20.1,20.5,27.5,119.7,1.0,4.4,212.0
Daniel Jones,NYG,515.0,319.0,3490.0,21.0,16.0,65.0,370.9,2.0,6.0,253.7
Carson Wentz,IND,487.0,297.0,3310.0,21.0,14.5,47.0,211.0,1.0,7.0,234.4
Sam Darnold,CAR,527.0,327.0,3845.0,17.4,18.0,45.8,186.9,2.0,4.0,222.1
Jared Goff,DET,501.0,311.0,3559.0,20.0,16.0,28.3,67.0,1.0,4.3,247.9
