player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Lamar Jackson,BAL,500.9,325.7,3638.1,34.0,9.8,170.3,1076.2,7.4,1.9,417.6
Patrick Mahomes,KC,594.3,387.5,4699.3,38.1,9.0,64.0,408.4,3.8,0.4,400.0
Dak Prescott,DAL,596.0,387.0,4708.0,30.0,10.4,71.0,304.0,5.0,0.6,392.9
Deshaun Watson,HOU,550.1,361.4,4116.7,28.3,10.0,95.7,532.4,6.0,0.5,369.9
Russell Wilson,SEA,527.1,344.8,4022.4,31.6,8.0,74.0,397.3,3.0,1.2,371.6
Kyler Murray,ARI,585.0,374.0,4178.1,26.4,11.0,97.0,555.0,3.7,1.7,377.0
Josh Allen,BUF,541.0,311.1,3622.0,23.0,10.9,134.2,698.0,8.0,1.7,364.6
Matt Ryan,ATL,642.0,431.0,4777.0,29.0,11.3,37.0,150.9,2.0,1.4,365.7
Tom Brady,TB,605.6,380.0,4501.0,30.8,8.4,24.8,62.2,2.0,0.7,325.8
Drew Brees,NO,583.2,410.9,4550.1,32.0,8.0,29.0,58.2,2.0,0.4,343.2
Aaron Rodgers,GB,582.0,366.0,4162.9,29.0,6.0,52.0,235.0,1.6,0.8,335.9
Carson Wentz,PHI,598.0,392.0,4150.0,30.0,7.0,70.0,251.0,2.0,1.4,347.0
Cam Newton,NE,545.3,338.0,3914.4,26.2,11.8,127.0,508.0,4.7,0.9,321.7
Matthew Stafford,DET,581.0,382.4,4487.8,28.0,9.7,34.0,123.2,1.1,1.2,342.7
Jared Goff,LAR,606.0,383.0,4525.0,27.7,13.1,40.0,131.2,1.8,1.2,335.2
Ryan Tannehill,TEN,493.9,328.9,3950.6,25.8,11.0,64.0,283.4,3.0,1.6,311.7
Daniel Jones,NYG,582.0,369.0,4024.0,25.7,13.1,61.3,337.0,3.0,1.9,324.2
Gardner Minshew II,JAC,567.5,352.5,3970.7,24.2,9.4,73.0,415.8,2.2,2.7,319.9
Baker Mayfield,CLE,558.7,344.3,4079.5,27.2,14.0,37.0,193.8,2.0,0.8,304.6
Ben Roethlisberger,PIT,581.0,381.7,4391.9,29.5,11.8,32.0,95.0,2.0,0.6,314.9
Kirk Cousins,MIN,528.7,351.5,4076.8,27.0,9.0,43.0,125.4,1.8,0.7,305.7
Jimmy Garoppolo,SF,513.8,344.6,4033.4,27.4,12.0,46.0,131.2,1.7,1.5,308.3
Joe Burrow,CIN,588.0,361.0,4084.8,24.0,13.5,66.0,379.9,2.9,1.2,316.3
Drew Lock,DEN,537.0,343.9,3870.4,23.7,10.8,59.0,228.8,2.0,1.9,299.9
Philip Rivers,IND,543.0,353.0,4180.0,27.5,11.5,21.0,43.0,0.4,0.4,306.9
Teddy Bridgewater,CAR,599.0,380.0,4083.0,26.1,9.6,44.1,172.9,1.5,0.0,290.1
Sam Darnold,NYJ,545.5,345.5,3848.7,24.2,11.8,47.0,187.7,2.0,1.3,279.8
Derek Carr,LV,557.0,371.5,4116.9,24.6,8.5,27.9,109.1,2.0,1.2,270.5
Dwayne Haskins,WAS,502.7,313.4,3626.9,20.2,11.8,43.0,189.0,1.7,0.9,209.3
Tua Tagovailoa,MIA,463.7,284.8,3264.5,18.0,6.0,35.0,239.8,1.8,0.8,191.5
Tyrod Taylor,LAC,486.0,313.0,3860.0,23.0,2.0,56.0,265.3,2.0,0.3,241.2
Nick Foles,CHI,370.1,240.0,2617.2,17.0,5.0,18.0,67.7,0.8,0.7,202.8
Mitch Trubisky,CHI,355.0,231.0,2355.0,15.0,4.9,31.2,170.7,1.5,0.4,151.3
Justin Herbert,LAC,419.7,264.9,3076.3,15.9,1.0,39.5,324.4,1.8,0.0,181.7
Ryan Fitzpatrick,MIA,348.0,219.0,2436.0,15.0,3.5,35.0,141.0,2.0,0.4,201.9
Jalen Hurts,PHI,43.0,25.6,779.9,4.2,0.0,41.0,217.0,2.0,0.4,58.0
Marcus Mariota,LV,81.2,50.7,736.6,4.0,0.0,9.7,58.5,0.5,0.0,50.1
Phillip Walker,CAR,97.4,57.6,660.1,3.3,0.0,6.9,112.5,0.7,0.0,40.6
Alex Smith,WAS,105.0,67.0,745.0,5.0,0.9,19.0,65.0,0.1,0.0,63.8
Taysom Hill,NO,12.0,7.0,77.0,1.0,0.0,31.0,324.9,1.0,0.0,39.3
John Wolford,LAR,19.0,12.0,533.8,2.3,0.0,1.0,115.5,0.8,0.0,42.5
Mason Rudolph,PIT,62.9,39.7,527.9,2.9,0.0,6.4,24.0,0.3,0.0,27.7
Jameis Winston,NO,41.6,25.9,591.4,4.0,0.0,4.0,30.4,0.4,0.0,41.4
Jarrett Stidham,NE,68.0,42.0,490.0,3.0,0.0,9.0,27.0,0.2,0.0,39.2
Jacoby Brissett,IND,40.6,24.8,468.4,2.1,0.0,2.9,19.0,0.4,0.0,28.9
Geno Smith,SEA,26.1,16.3,319.4,1.6,0.0,5.0,26.9,0.2,0.0,20.5
Blaine Gabbert,TB,46.0,27.5,457.3,2.4,0.0,4.0,15.8,0.2,0.0,27.0
Joshua Dobbs,JAC,64.2,38.4,421.4,2.0,0.0,4.0,16.0,0.1,0.5,22.6
Jeff Driskel,DEN,40.0,25.0,425.4,1.9,0.0,4.0,29.4,0.4,0.0,27.0
Case Keenum,CLE,58.0,37.6,399.9,2.7,0.0,2.0,6.9,0.1,0.0,24.6
Jordan Love,GB,27.6,16.2,185.0,1.2,0.0,7.0,34.0,0.1,0.0,15.2
Kyle Allen,WAS,45.0,28.0,442.9,2.0,0.0,2.0,9.4,0.2,0.0,21.9
Andy Dalton,DAL,28.5,17.3,466.4,2.4,0.0,5.0,21.0,0.2,0.0,27.5
Chase Daniel,DET,27.9,18.2,450.8,2.1,0.0,4.0,17.0,0.1,0.0,25.3
AJ McCarron,HOU,31.0,19.0,378.1,1.8,0.0,1.3,15.4,0.2,0.0,22.4
Will Grier,CAR,51.0,31.0,354.0,2.0,0.0,1.0,6.0,0.0,0.0,26.3
Logan Woodside,TEN,24.0,15.0,178.0,1.0,0.0,1.0,4.0,0.0,0.0,13.1
Colt McCoy,NYG,43.0,26.0,288.0,1.3,0.0,2.0,11.0,0.0,0.0,18.4
Matt Barkley,BUF,45.1,28.0,351.2,1.9,0.0,4.0,13.9,0.1,0.0,19.3
Robert Griffin,BAL,25.4,16.0,176.1,1.4,0.0,6.0,32.0,0.2,0.0,14.6
Ryan Finley,CIN,28.0,17.0,195.7,1.0,0.0,4.0,16.0,0.0,0.0,15.1
Matt Schaub,ATL,32.1,20.6,237.6,1.5,0.0,4.0,3.4,0.0,0.0,14.0
Brett Hundley,ARI,28.1,17.4,187.3,1.3,0.0,4.0,16.0,0.1,0.0,12.4
Sean Mannion,MIN,36.0,21.0,272.0,1.0,0.0,5.0,4.0,0.0,0.0,17.8
Chad Henne,KC,29.2,17.0,188.5,1.5,0.0,2.0,7.0,0.1,0.0,12.0
Trevor Siemian,TEN,23.8,14.4,163.6,1.1,0.0,1.5,7.2,0.1,0.0,10.6
Nick Mullens,SF,28.0,17.0,187.4,1.3,0.0,5.0,5.0,0.0,0.0,11.0
Joe Flacco,NYJ,20.9,13.6,144.1,1.0,0.0,3.0,11.0,0.0,0.0,8.6
David Blough,DET,23.0,14.0,159.0,1.0,0.0,4.0,17.0,0.0,0.0,10.1
Brian Hoyer,NE,20.0,12.0,129.0,1.0,0.0,6.0,4.0,0.0,0.0,9.6
Mike Glennon,JAC,23.0,14.0,155.0,1.0,0.0,3.0,3.0,0.0,1.0,10.5
Jacob Eason,IND,10.0,6.0,64.0,0.0,0.0,1.0,2.0,0.0,0.0,2.8
James Morgan,NYJ,7.0,4.1,44.6,0.2,0.2,0.3,1.2,0.0,0.1,2.3
Jake Fromm,BUF,4.0,2.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2
David Fales,NYJ,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Alex Tanney,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Stevens,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Moore,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trace McSorley,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Boyle,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Sudfeld,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Bray,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Gilbert,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Rush,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
