player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Josh Allen,BUF,605.4,400.5,4658.1,33.8,13.3,110.8,529.9,7.0,4.3,394.4
Patrick Mahomes II,KC,630.4,418.6,5062.7,37.6,10.0,55.4,295.2,3.0,1.8,386.7
Kyler Murray,ARI,591.9,392.0,4254.5,26.9,13.0,126.4,710.3,7.2,2.8,373.5
Lamar Jackson,BAL,456.4,292.4,3352.6,27.2,11.8,161.3,1001.1,7.1,3.7,366.2
Dak Prescott,DAL,621.8,415.4,4858.7,31.2,11.7,63.4,293.5,3.8,3.0,353.4
Russell Wilson,SEA,577.3,385.2,4324.3,34.0,11.8,81.9,445.8,2.3,2.9,349.2
Aaron Rodgers,GB,571.5,384.9,4589.0,36.4,7.8,39.9,181.2,1.9,2.6,346.1
Justin Herbert,LAC,614.5,398.8,4637.0,31.0,12.7,61.3,271.7,4.3,1.9,345.6
Tom Brady,TB,621.3,404.7,4820.7,36.7,11.8,24.5,42.9,2.0,1.9,340.2
Ryan Tannehill,TEN,527.8,348.7,4184.0,30.5,11.2,52.4,252.1,3.5,2.1,320.6
Jalen Hurts,PHI,528.5,322.8,3642.7,21.6,13.9,138.7,740.4,6.0,4.3,319.4
Joe Burrow,CIN,613.2,400.4,4357.5,26.4,12.2,54.1,229.4,2.9,3.2,301.9
Matthew Stafford,LAR,612.0,405.3,4575.4,28.8,11.8,31.8,115.2,0.8,2.6,297.7
Matt Ryan,ATL,613.6,400.9,4613.0,27.9,13.4,33.1,99.4,1.3,3.2,293.8
Kirk Cousins,MIN,534.6,359.0,4308.4,30.1,13.1,34.8,129.5,1.2,3.2,293.7
Baker Mayfield,CLE,543.2,346.7,4114.5,28.9,12.7,44.2,192.1,1.9,2.6,293.2
Trevor Lawrence,JAC,592.4,377.7,4170.2,25.2,13.5,65.4,294.1,2.2,2.0,292.6
Tua Tagovailoa,MIA,580.3,378.4,4049.5,26.4,13.7,56.8,237.5,3.0,1.7,291.8
Ryan Fitzpatrick,WAS,578.4,383.6,4253.0,25.2,16.6,50.8,239.2,2.8,1.6,291.8
Derek Carr,LV,563.8,373.7,4406.7,27.6,11.6,30.4,115.2,1.8,4.2,289.0
Ben Roethlisberger,PIT,616.0,399.4,4321.6,30.0,14.4,20.9,36.1,0.5,1.7,282.0
Zach Wilson,NYJ,553.9,350.9,3996.5,23.1,14.9,62.7,319.4,2.6,2.4,280.0
Jameis Winston,NO,523.2,337.3,4025.4,26.9,16.6,44.9,215.4,1.4,3.3,275.5
Daniel Jones,NYG,547.6,343.2,3791.6,22.0,13.9,70.4,405.8,2.7,4.7,272.9
Carson Wentz,IND,535.7,335.5,3742.5,24.4,12.9,58.3,272.4,2.8,4.6,269.0
Sam Darnold,CAR,556.7,351.4,3933.5,22.2,14.8,50.3,228.0,3.0,2.9,266.5
Jared Goff,DET,580.4,372.6,4206.8,23.7,14.2,39.6,112.4,1.7,3.3,263.7
Mac Jones,NE,545.9,348.3,3910.7,23.8,14.4,41.1,154.4,2.1,2.2,260.6
Teddy Bridgewater,DEN,474.3,306.3,3625.6,21.4,13.4,48.8,228.9,2.6,2.0,251.7
Justin Fields,CHI,528.9,333.6,2947.1,17.8,10.5,91.6,365.7,3.0,2.4,228.3
Trey Lance,SF,429.5,268.8,2678.9,16.6,9.7,84.8,370.2,3.0,1.8,215.4
Tyrod Taylor,HOU,438.5,272.6,2867.3,15.8,8.6,46.8,206.8,1.6,1.1,197.0
Jimmy Garoppolo,SF,131.7,89.5,1678.4,10.3,5.7,11.2,46.3,0.5,1.2,108.2
