player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Patrick Mahomes II,KC,555.7,374.0,4467.7,33.1,12.9,59.2,305.8,2.9,3.8,366.5
Josh Allen,BUF,527.3,338.2,4076.9,30.3,19.0,105.4,592.4,5.0,5.5,357.6
Jalen Hurts,PHI,455.4,290.2,3511.2,18.8,14.3,141.8,670.4,7.7,4.6,337.8
Lamar Jackson,BAL,402.6,263.0,3090.5,20.1,16.0,130.0,777.0,3.0,4.3,327.6
Joe Burrow,CIN,567.5,391.2,4316.0,29.0,14.2,56.0,189.0,2.5,3.7,331.2
Justin Fields,CHI,351.8,213.3,2626.8,17.3,19.0,138.9,912.1,6.0,5.9,308.8
Justin Herbert,LAC,591.1,397.5,4305.3,29.0,15.9,54.0,174.0,1.0,3.8,296.2
Deshaun Watson,CLE,474.5,315.1,3748.0,22.8,16.0,82.0,376.0,2.0,3.4,297.3
Dak Prescott,DAL,536.6,353.2,3891.0,26.4,16.0,55.0,199.0,1.0,3.7,281.8
Trevor Lawrence,JAC,562.9,363.3,3894.7,24.0,14.6,55.8,250.4,2.9,8.0,282.3
Kirk Cousins,MIN,508.2,346.9,4147.6,28.0,14.0,23.0,63.8,0.9,4.2,285.1
Daniel Jones,NYG,501.0,326.0,3315.0,19.6,11.9,91.1,553.9,4.0,6.9,269.0
Geno Smith,SEA,467.7,328.1,3649.8,25.2,13.0,55.4,274.9,1.0,4.2,271.6
Aaron Rodgers,NYJ,491.6,329.7,3750.1,25.0,11.0,30.0,83.0,1.0,3.7,270.5
Tua Tagovailoa,MIA,488.7,326.0,3915.0,25.0,15.0,32.1,105.0,1.0,3.9,252.7
Russell Wilson,DEN,447.8,286.7,3441.3,22.0,13.0,59.0,261.0,1.8,3.8,253.3
Jared Goff,DET,551.0,363.0,3933.4,24.1,13.3,22.7,69.4,1.0,4.9,244.2
Anthony Richardson,IND,443.8,268.4,2896.0,15.6,20.0,79.8,145.0,1.5,3.8,182.9
Derek Carr,NO,491.0,318.0,3679.0,22.2,13.0,34.0,81.7,0.0,4.2,238.6
Matthew Stafford,LAR,496.8,329.8,3710.0,20.7,17.0,26.0,50.0,0.0,4.0,238.2
Jordan Love,GB,500.3,315.6,3525.0,19.8,17.8,16.0,43.0,0.0,4.8,212.1
Kenny Pickett,PIT,397.1,233.1,2209.1,4.9,16.0,58.8,264.8,2.0,3.1,231.6
Brock Purdy,SF,356.0,242.4,2987.8,18.8,13.3,27.0,35.0,1.0,2.0,201.3
Bryce Young,CAR,493.0,311.0,3450.0,17.0,15.7,32.0,145.0,1.0,3.9,206.6
Jimmy Garoppolo,LV,383.2,257.1,3222.1,18.0,13.0,26.0,40.0,1.0,3.5,187.0
Ryan Tannehill,TEN,385.9,254.7,2843.5,17.0,19.0,28.0,85.0,1.0,3.1,192.9
C.J. Stroud,HOU,476.4,303.0,3271.6,14.2,18.0,33.0,109.0,1.0,3.8,185.4
Mac Jones,NE,441.7,293.8,3080.1,14.9,18.0,46.9,118.0,0.5,3.2,170.0
Kyler Murray,ARI,340.0,224.0,2050.0,12.6,20.0,58.7,329.3,2.0,2.9,168.3
Sam Howell,WAS,326.0,196.0,2090.1,10.6,18.0,39.0,108.5,1.0,3.6,148.3
Desmond Ridder,ATL,388.8,241.0,2685.0,13.0,15.3,21.0,82.0,1.0,4.0,163.8
Baker Mayfield,TB,348.2,211.0,2360.0,11.6,16.6,21.0,72.0,0.7,3.0,138.3
Jacoby Brissett,WAS,21.0,13.0,140.0,1.0,5.9,5.0,21.0,0.0,4.4,7.0
Kyle Trask,TB,148.0,88.0,834.0,4.0,11.7,5.0,14.0,0.0,2.5,42.0
Colt McCoy,ARI,59.0,36.0,336.0,0.9,7.0,6.0,20.0,0.0,1.9,13.0
Will Levis,TEN,15.0,9.0,103.0,1.0,8.6,1.0,5.0,0.0,2.5,6.0
