player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Patrick Mahomes,KC,578.2,374.1,4658.1,32.9,15.0,51.7,205.1,1.0,4.3,338.9
Deshaun Watson,HOU,516.6,337.2,4056.3,27.0,12.6,89.0,416.7,4.0,4.1,326.3
Aaron Rodgers,GB,551.4,341.6,4007.0,27.9,9.9,45.5,238.9,1.7,3.5,296.6
Matt Ryan,ATL,570.0,382.0,4556.0,29.0,12.9,34.9,116.5,1.0,4.0,301.4
Cam Newton,CAR,510.0,326.0,3567.0,23.0,14.0,103.6,373.5,3.5,3.7,299.0
Drew Brees,NO,517.9,374.9,4253.1,28.8,10.9,3.0,17.0,1.4,3.3,276.9
Carson Wentz,PHI,522.1,347.6,3980.3,28.0,14.5,45.4,165.0,0.8,4.7,288.6
Dak Prescott,DAL,516.4,337.0,3789.0,22.0,13.0,66.3,279.6,3.3,4.1,284.4
Baker Mayfield,CLE,547.8,348.6,4150.2,29.0,15.7,44.0,159.0,0.9,3.9,278.4
Jameis Winston,TB,535.0,337.4,4265.0,26.1,16.8,48.9,200.7,1.0,4.5,270.1
Jared Goff,LAR,544.0,343.0,4317.1,27.4,13.6,15.0,65.4,0.5,4.6,272.5
Ben Roethlisberger,PIT,585.0,386.0,4391.0,29.0,15.7,11.0,54.2,0.5,3.7,282.4
Russell Wilson,SEA,448.8,289.9,3504.3,26.0,10.8,71.7,257.0,1.8,4.1,276.6
Lamar Jackson,BAL,423.0,250.9,2970.6,14.3,13.1,161.5,759.9,5.8,5.9,266.7
Tom Brady,NE,565.0,368.4,4240.0,28.4,11.1,6.0,18.7,0.8,3.1,275.6
Mitch Trubisky,CHI,507.6,329.0,3726.1,24.6,14.6,66.0,337.7,2.0,4.1,274.2
Kirk Cousins,MIN,531.2,365.1,3883.3,25.7,13.6,26.0,128.0,1.0,4.1,260.5
Philip Rivers,LAC,537.7,353.7,4237.4,28.6,13.7,2.0,10.0,0.0,2.8,265.0
Kyler Murray,ARI,508.0,305.0,3537.9,16.9,15.7,96.8,257.6,2.2,4.3,217.1
Josh Allen,BUF,472.4,268.0,3087.9,16.2,14.1,95.8,481.7,4.0,4.5,247.5
Jacoby Brissett,IND,511.0,301.1,3440.0,19.7,13.1,44.0,242.3,1.9,4.7,240.4
Jimmy Garoppolo,SF,510.0,311.0,3522.0,21.0,15.0,35.0,76.0,0.0,5.3,234.2
Matthew Stafford,DET,534.8,348.9,3866.1,23.1,12.0,26.2,49.1,0.8,3.3,231.2
Derek Carr,OAK,565.7,364.0,3968.7,23.4,13.8,11.0,59.0,0.0,4.6,237.8
Andy Dalton,CIN,519.0,322.0,3685.0,21.7,14.2,32.5,86.7,1.0,2.9,227.8
Sam Darnold,NYJ,525.0,310.0,3517.0,20.8,16.1,43.0,149.1,1.0,3.5,233.5
Marcus Mariota,TEN,427.1,282.0,3146.8,16.0,13.3,63.0,327.7,2.0,3.9,215.1
Joe Flacco,DEN,507.0,315.9,3449.0,19.1,17.2,12.0,30.0,1.0,3.2,217.1
Nick Foles,JAC,500.0,310.0,3486.1,17.3,15.1,23.2,8.6,0.0,3.9,190.3
Ryan Fitzpatrick,MIA,215.9,138.7,1700.0,6.5,15.7,22.4,104.8,0.7,1.5,89.2
Eli Manning,NYG,395.1,257.9,2819.5,14.9,11.5,14.0,6.3,0.6,2.7,156.3
Case Keenum,WAS,107.0,62.0,728.0,5.0,14.4,7.0,40.0,0.0,1.8,60.4
Dwayne Haskins,WAS,64.8,39.3,445.9,2.4,9.0,5.2,18.8,0.0,1.7,26.2
Daniel Jones,NYG,87.0,52.0,623.0,4.0,5.4,3.0,14.0,0.0,1.3,48.6
Josh Rosen,MIA,33.9,19.2,212.5,1.2,9.8,3.2,1.2,0.0,3.4,13.1
Taysom Hill,NO,5.3,3.1,35.1,0.0,0.3,30.8,173.0,1.0,0.3,26.3
C.J. Beathard,SF,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,27.9,15.7,181.9,1.0,2.5,2.0,0.7,0.0,0.3,11.6
Drew Lock,DEN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew,JAC,41.6,24.7,277.7,1.0,3.0,2.0,0.4,0.0,0.3,15.5
Ryan Finley,CIN,21.6,12.8,144.7,0.8,3.1,0.5,2.0,0.0,0.2,7.5
Will Grier,CAR,21.0,12.5,146.8,0.9,1.5,0.0,0.0,0.0,0.2,9.8
Nick Mullens,SF,34.5,21.1,201.7,0.7,1.4,0.7,0.0,0.0,0.2,10.0
Colt McCoy,WAS,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.8,0.0
Blaine Gabbert,TB,23.8,13.7,149.4,0.6,1.3,1.0,0.2,0.0,0.3,8.5
Chad Kelly,IND,29.0,19.0,215.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0
