player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Matthew Stafford,LAR,529.9,351.9,3997.8,24.5,13.2,29.9,71.0,0.9,2.8,251.1
Jordan Love,GB,544.1,344.2,3812.4,23.2,14.8,43.5,168.5,1.5,2.6,250.8
Kenny Pickett,PIT,502.2,316.9,3309.4,17.5,12.4,67.0,421.2,3.6,1.5,250.6
Brock Purdy,SF,431.2,281.8,3346.7,23.7,9.8,36.2,107.0,2.1,1.4,239.3
Bryce Young,CAR,521.3,328.0,3635.8,20.3,12.7,51.3,201.8,1.6,2.3,238.9
Jimmy Garoppolo,LV,486.3,321.4,3575.0,21.5,11.9,30.5,67.0,1.5,2.3,228.2
Ryan Tannehill,TEN,452.5,294.2,3268.4,19.0,10.9,41.3,162.7,2.3,2.1,221.9
C.J. Stroud,HOU,512.0,321.0,3403.3,18.9,14.1,49.4,173.7,1.4,2.4,218.4
Mac Jones,NE,494.2,323.4,3443.3,18.9,13.4,50.8,149.7,1.2,2.1,217.8
Kyler Murray,ARI,432.5,285.1,2779.3,14.2,9.7,80.9,428.1,3.0,1.9,215.1
Sam Howell,WAS,481.8,300.8,3082.3,17.2,12.5,53.2,220.3,1.8,2.4,207.2
Desmond Ridder,ATL,437.5,269.6,2911.9,16.6,10.2,38.8,169.0,1.4,3.0,191.9
Baker Mayfield,TB,458.6,281.7,3001.6,15.9,11.4,34.5,123.9,1.1,2.1,187.3
Jacoby Brissett,WAS,192.2,111.6,1245.9,5.1,3.9,23.5,92.5,0.8,1.5,77.2
Kyle Trask,TB,228.7,138.2,1379.4,6.0,6.5,18.8,50.5,0.2,1.2,76.9
Colt McCoy,ARI,165.1,107.0,1177.0,4.6,4.6,17.4,58.8,0.5,1.0,67.5
Will Levis,TEN,134.9,83.3,979.1,4.1,4.5,18.5,61.3,0.3,0.9,57.2
Trey Lance,SF,126.5,77.8,802.5,3.1,3.5,23.1,94.2,0.6,0.8,52.3
Brian Hoyer,LV,98.1,59.5,742.8,4.0,4.0,10.4,32.5,0.2,0.8,44.7
Taylor Heinicke,ATL,99.0,60.6,704.9,3.8,3.9,18.1,51.0,0.2,1.2,43.4
Gardner Minshew II,IND,74.2,46.5,665.2,2.7,2.3,11.9,41.3,0.2,1.2,38.1
Sam Darnold,SF,124.7,72.6,608.9,2.5,3.7,15.6,44.5,0.1,1.1,33.5
Mike White,MIA,94.6,56.6,606.9,2.8,3.7,12.6,20.3,0.1,0.6,33.0
Bailey Zappe,NE,100.3,61.3,598.8,2.4,3.6,12.0,22.4,0.1,1.1,30.8
Clayton Tune,ARI,107.3,64.4,641.2,1.1,3.9,16.0,43.4,0.3,1.1,29.8
Davis Mills,HOU,87.1,51.0,526.1,1.6,4.0,14.8,32.2,0.2,0.6,26.8
Tyrod Taylor,NYG,42.0,27.2,285.9,2.0,1.3,14.3,59.2,0.2,0.3,24.9
Marcus Mariota,PHI,54.6,34.3,325.5,1.6,1.2,15.4,48.8,0.3,0.4,23.8
Mitch Trubisky,PIT,61.1,40.3,374.1,1.6,1.7,9.0,26.9,0.3,0.2,23.5
Tyler Huntley,BAL,52.6,32.9,312.3,1.4,1.4,19.8,59.4,0.2,0.5,22.8
Andy Dalton,CAR,63.3,39.3,398.5,1.9,2.4,7.3,15.3,0.1,0.4,22.4
Jarrett Stidham,DEN,60.3,34.3,349.1,2.2,2.3,5.3,10.9,0.1,0.4,21.5
Brett Rypien,LAR,57.4,32.4,430.8,2.0,5.6,26.2,27.2,0.1,0.9,21.2
Sean Clifford,GB,53.2,32.8,374.3,1.6,2.6,8.8,20.0,0.2,0.6,20.7
Hendon Hooker,DET,105.3,62.0,573.8,0.0,5.4,20.6,43.1,0.2,1.6,19.9
Teddy Bridgewater,DET,65.3,35.4,366.1,1.2,1.7,5.2,14.7,0.1,0.2,19.6
Blaine Gabbert,KC,51.9,30.6,337.5,1.7,2.6,11.2,21.2,0.1,0.5,19.3
Jameis Winston,NO,38.0,26.2,321.6,1.5,1.4,4.6,9.4,0.2,0.2,19.2
Trevor Siemian,CIN,68.6,41.6,347.6,1.7,2.7,11.7,17.3,0.1,0.5,19.1
P.J. Walker,CHI,85.7,43.5,369.3,1.5,4.0,9.9,21.6,0.1,0.4,18.9
Joshua Dobbs,CLE,54.5,32.5,335.8,1.5,2.6,10.7,27.4,0.1,0.6,18.9
Nick Mullens,MIN,43.3,32.5,327.5,1.9,2.1,4.7,8.6,0.1,0.7,18.7
Zach Wilson,NYJ,94.1,52.5,472.9,0.8,5.2,5.4,13.4,0.2,0.5,18.4
Stetson Bennett,LAR,69.3,43.0,356.6,1.1,1.7,8.8,18.2,0.1,0.5,18.4
Easton Stick,LAC,64.5,37.8,342.3,1.6,3.6,15.2,20.6,0.2,0.7,18.3
Drew Lock,SEA,53.0,29.0,328.2,1.6,2.7,6.0,16.9,0.1,0.5,18.0
C.J. Beathard,JAC,53.8,31.3,329.9,1.5,2.9,11.3,19.6,0.1,0.5,17.8
Cooper Rush,DAL,35.1,21.8,274.3,1.5,1.3,2.5,5.0,0.0,0.1,16.1
David Blough,ARI,87.0,52.0,307.6,1.2,2.0,7.0,12.8,0.0,0.5,15.6
Kyle Allen,BUF,61.1,37.9,409.6,1.2,5.2,10.3,25.6,0.2,2.3,15.0
Aidan O'Connell,LV,65.4,38.8,296.2,0.5,2.4,11.4,17.8,0.1,0.6,12.9
Matt Barkley,BUF,38.7,23.5,214.7,1.0,1.2,3.1,4.7,0.1,0.3,12.3
Malik Willis,TEN,79.6,45.5,311.8,0.5,3.4,16.1,22.0,0.0,0.6,12.2
Dorian Thompson-Robinson,CLE,42.4,25.1,240.9,0.5,2.5,9.7,21.1,0.1,0.7,10.4
Max Duggan,LAC,21.0,14.0,144.0,1.0,0.0,1.0,3.0,0.0,0.0,10.1
Jaren Hall,MIN,20.0,13.0,141.0,1.0,0.0,1.0,3.0,0.0,0.0,9.9
Tanner McKee,PHI,16.0,10.0,120.0,1.0,0.0,1.0,6.0,0.0,0.0,9.4
Skylar Thompson,MIA,90.7,51.5,243.7,0.7,4.0,26.5,20.4,0.0,0.9,9.1
Jake Haener,NO,15.0,10.0,117.0,1.0,0.0,1.0,4.0,0.0,0.0,9.1
Mason Rudolph,PIT,51.2,34.9,122.3,0.5,1.2,17.7,14.2,0.0,0.0,7.3
Case Keenum,HOU,119.6,59.1,225.4,0.3,1.3,10.0,0.6,0.0,0.8,7.3
Matt Corral,CAR,68.8,40.2,197.3,0.1,2.6,18.4,19.2,0.1,0.7,6.9
Sam Ehlinger,IND,20.8,11.6,100.1,1.5,7.1,30.3,44.5,0.0,1.6,4.2
Shane Buechele,KC,0.0,0.0,34.0,0.1,0.2,0.0,0.2,0.0,0.0,1.7
Nate Sudfeld,DET,0.0,0.0,26.3,0.1,0.1,0.0,1.7,0.0,0.0,1.5
Tommy DeVito,NYG,0.0,0.0,23.1,0.1,0.1,0.0,0.1,0.0,0.0,1.3
Will Grier,DAL,0.0,0.0,9.4,0.0,0.1,0.0,0.0,0.0,0.0,0.4
Josh Johnson,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
