player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Lamar Jackson,BAL,468.4,300.9,3480.5,28.9,11.6,159.5,954.9,5.9,3.4,355.4
Patrick Mahomes,KC,569.3,371.7,4576.8,34.2,10.7,57.1,297.7,2.8,2.1,340.9
Dak Prescott,DAL,572.3,372.5,4498.0,28.7,11.8,60.7,258.8,3.7,2.8,313.7
Deshaun Watson,HOU,527.3,346.5,4022.3,26.1,12.7,91.5,496.2,4.6,2.6,312.1
Russell Wilson,SEA,491.9,321.2,3899.4,29.6,8.5,72.4,378.6,2.3,2.3,304.4
Kyler Murray,ARI,559.5,361.2,3960.1,24.9,12.7,87.3,474.7,3.3,2.4,294.9
Josh Allen,BUF,513.6,304.8,3506.6,20.9,12.8,110.5,608.6,6.5,3.7,291.0
Matt Ryan,ATL,625.0,413.9,4675.1,28.0,13.3,34.4,132.5,1.3,3.5,286.7
Tom Brady,TB,571.2,360.3,4336.9,29.1,10.2,24.3,36.6,1.4,1.6,278.0
Drew Brees,NO,533.9,379.9,4182.2,30.4,9.8,23.0,25.9,1.1,1.4,275.9
Aaron Rodgers,GB,560.0,352.9,4059.8,26.8,8.3,44.2,191.8,1.2,2.7,273.9
Carson Wentz,PHI,562.2,363.9,3998.8,27.4,10.0,56.9,212.9,1.7,4.5,271.8
Cam Newton,NE,502.8,309.2,3537.3,22.3,13.0,102.6,395.2,3.7,2.3,261.9
Matthew Stafford,DET,565.5,364.0,4279.5,26.5,11.7,27.5,93.2,0.7,3.3,260.4
Jared Goff,LAR,592.7,377.0,4348.2,25.2,14.4,35.7,88.7,1.3,3.2,255.7
Ryan Tannehill,TEN,453.2,298.9,3649.0,24.4,11.4,58.1,246.4,2.5,3.2,253.8
Daniel Jones,NYG,559.6,351.7,3866.9,24.8,15.5,56.7,292.3,2.5,7.3,252.2
Gardner Minshew II,JAC,542.0,334.7,3750.3,21.9,11.3,63.9,323.3,1.6,5.3,246.2
Baker Mayfield,CLE,511.1,316.5,3839.2,25.5,14.7,31.7,148.5,1.6,2.3,245.6
Ben Roethlisberger,PIT,544.2,353.1,3988.4,25.8,13.9,22.8,63.2,1.1,2.0,243.8
Kirk Cousins,MIN,500.8,337.4,3841.7,25.0,10.0,34.1,83.5,1.2,3.7,241.7
Jimmy Garoppolo,SF,482.3,321.8,3840.9,26.3,14.1,39.2,90.8,1.3,3.2,241.2
Joe Burrow,CIN,553.2,343.1,3850.5,22.3,14.9,46.3,243.2,1.8,4.0,240.7
Drew Lock,DEN,521.9,332.4,3705.8,22.5,12.5,44.4,191.4,1.2,3.4,232.9
Philip Rivers,IND,527.9,337.0,3930.5,25.7,13.7,13.9,22.8,0.2,2.2,231.3
Teddy Bridgewater,CAR,550.1,351.9,3871.1,22.2,12.8,32.7,102.2,1.0,1.4,231.3
Sam Darnold,NYJ,522.8,325.2,3695.5,22.6,15.4,43.2,137.0,1.6,3.0,224.6
Derek Carr,LV,487.6,326.8,3660.7,22.1,9.8,25.4,74.3,1.2,2.9,224.1
Dwayne Haskins,WAS,435.2,266.8,3043.1,17.1,13.8,29.3,134.3,0.8,2.0,176.9
Tua Tagovailoa,MIA,351.7,217.9,2500.2,14.2,10.2,26.3,131.0,1.1,2.4,151.5
Tyrod Taylor,LAC,299.8,189.5,2118.1,12.3,7.3,40.2,202.5,1.5,1.0,146.1
Nick Foles,CHI,300.3,196.8,2204.7,13.1,7.6,15.2,38.7,0.4,1.9,128.0
Mitch Trubisky,CHI,265.3,170.0,1789.0,10.9,6.5,23.6,122.4,1.1,1.0,119.0
Justin Herbert,LAC,227.3,140.1,1675.0,9.7,6.8,25.5,146.5,1.2,1.3,111.0
Ryan Fitzpatrick,MIA,246.7,154.4,1730.1,10.2,7.6,22.7,106.3,1.1,0.8,110.5
Jalen Hurts,PHI,32.0,18.5,364.0,2.0,1.2,22.1,115.0,1.1,2.2,34.1
Marcus Mariota,LV,49.3,31.4,437.3,2.7,1.4,5.9,35.6,0.2,0.3,29.6
Phillip Walker,CAR,57.7,34.8,440.5,2.1,1.9,4.0,48.3,0.3,0.3,28.6
Alex Smith,WAS,58.9,37.7,421.5,2.6,1.3,9.0,33.6,0.0,0.1,27.8
Taysom Hill,NO,10.5,5.5,56.0,0.4,0.1,16.0,167.6,1.0,0.2,26.0
John Wolford,LAR,19.0,12.0,335.4,1.7,1.2,1.0,59.2,0.4,0.2,25.5
Mason Rudolph,PIT,34.0,21.2,292.2,1.6,1.3,2.9,10.6,0.1,0.2,16.5
Jameis Winston,NO,20.9,13.2,246.2,1.4,0.8,2.1,13.1,0.1,0.2,15.4
Jarrett Stidham,NE,33.1,20.9,232.1,1.4,0.8,3.8,11.8,0.1,0.2,14.3
Jacoby Brissett,IND,17.2,10.3,200.4,1.3,0.5,1.6,10.2,0.1,0.2,13.6
Geno Smith,SEA,21.1,12.1,199.0,1.4,0.7,2.9,11.6,0.1,0.2,13.4
Blaine Gabbert,TB,21.8,12.9,218.6,1.4,1.0,1.8,6.5,0.1,0.1,12.9
Joshua Dobbs,JAC,38.4,22.1,253.5,1.0,1.3,2.4,9.5,0.0,0.5,11.8
Jeff Driskel,DEN,21.6,13.0,199.4,1.0,1.1,1.8,14.0,0.1,0.1,11.5
